SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
GANGETIC WEST BENGAL,1984,19.1,2.6,0.6,46.6,82.6,597.1,332.7,442.2,196.4,111.8,0,0,1831.7,21.7,129.8,1568.4,111.8
GANGETIC WEST BENGAL,1985,10.9,22,8.8,24.1,99.6,280.4,286.3,340.6,201.8,137.2,1.8,0,1413.4,32.9,132.4,1109.1,139
GANGETIC WEST BENGAL,1986,9.6,6.3,7.1,48.5,146.1,227.9,313.4,181.2,522.2,201.5,106.4,20.6,1791,15.9,201.7,1244.8,328.5
GANGETIC WEST BENGAL,1987,1.8,7.1,18.9,76.6,91.7,146.9,427.4,473,262.6,34.1,43.7,7.7,1591.5,8.9,187.2,1309.9,85.5
GANGETIC WEST BENGAL,1988,1.7,22.9,53.5,45.3,109.3,508.8,299.9,292.6,207.1,100.4,39.5,0.5,1681.5,24.6,208.1,1308.4,140.4
GANGETIC WEST BENGAL,1989,0.4,4.9,6.1,5.4,173.6,318.2,414.5,291.4,284.2,105.5,3.7,18.3,1626.3,5.3,185.1,1308.3,127.5
GANGETIC WEST BENGAL,1990,2.2,62.2,119,79.3,147.6,268.2,520.2,236.3,300.7,174.2,47.9,3.5,1961.3,64.4,346,1325.4,225.6
GANGETIC WEST BENGAL,1991,27.8,11.4,41.7,34.5,66.1,257.4,381.2,331.3,249.2,125.6,15.6,67.5,1609.1,39.2,142.2,1219,208.7
GANGETIC WEST BENGAL,1992,14,49.5,0.1,25,127,239.9,407.6,254.1,226.6,66.2,4.4,0.2,1414.6,63.5,152.1,1128.3,70.7
GANGETIC WEST BENGAL,1993,0.3,3.8,40.8,78.6,116.2,328.5,280,357.7,421.4,94.2,38.2,0,1759.7,4,235.6,1387.6,132.5
GANGETIC WEST BENGAL,1994,23.8,48.8,7.3,63.7,98,310.1,426.1,294.4,166.1,82.9,9.6,0,1530.8,72.6,169,1196.8,92.5
GANGETIC WEST BENGAL,1995,20.2,30.1,8.7,10.1,202.9,185.4,401.1,413,411.5,86.4,160.5,6.2,1936,50.3,221.7,1411,253.1
GANGETIC WEST BENGAL,1996,11,13.2,10.4,39.2,67.5,336,251.3,472,143.5,155.9,4.1,0,1504,24.2,117,1202.7,160
GANGETIC WEST BENGAL,1997,18.7,23.6,44.2,101.8,98.2,219.6,437.3,387.3,244,27.8,30.5,24.9,1657.7,42.3,244.1,1288.1,83.1
GANGETIC WEST BENGAL,1998,52.9,31,128.8,53,87.1,154.3,295.2,265.7,296.3,191.4,77.1,0,1632.7,83.9,268.9,1011.5,268.4
GANGETIC WEST BENGAL,1999,0.1,0.7,1.6,10.5,217.9,268.8,405.2,375.4,467.8,195.3,13.7,0,1957,0.8,230,1517.2,209
GANGETIC WEST BENGAL,2000,9.5,57.9,3.8,54,215,205.6,341.5,178.4,428.4,76.2,1.6,0.1,1572.1,67.4,272.8,1153.9,77.9
GANGETIC WEST BENGAL,2001,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0,1540.6,2.2,258,1108,172.4
GANGETIC WEST BENGAL,2002,26.3,1.5,26.6,77.4,114.1,347.7,281.6,289.3,326.4,71.5,50.9,0.1,1613.3,27.8,218.1,1244.9,122.5
GANGETIC WEST BENGAL,2003,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
GANGETIC WEST BENGAL,2004,3.3,1.6,14.9,62.8,72.9,287.5,250.7,389.9,264.3,220.7,0,0.8,1569.4,4.9,150.7,1192.3,221.5
GANGETIC WEST BENGAL,2005,26.8,11.8,82.8,41.8,82.4,200.1,354.5,226.7,221.3,351.7,0,4.9,1604.9,38.6,207,1002.6,356.6
GANGETIC WEST BENGAL,2006,0.8,3,10.6,60.5,120.8,221,486.6,320.3,380.9,49.7,5.9,0.3,1660.5,3.9,191.9,1408.8,55.9
GANGETIC WEST BENGAL,2007,3.9,56.2,39.3,38.7,98.7,226.3,610.1,328,459.9,55.8,24.6,0,1941.4,60.1,176.7,1624.2,80.4
GANGETIC WEST BENGAL,2008,49.4,12.4,11.5,42.8,94.4,414.5,338.4,252.2,267.3,72.3,0,0.2,1555.2,61.8,148.8,1272.3,72.4
GANGETIC WEST BENGAL,2009,2.4,1.4,17.9,2.6,229,69.7,277.6,332.7,294.6,77.3,9.4,0.3,1315,3.8,249.5,974.6,87.1
GANGETIC WEST BENGAL,2010,0.2,10.3,8,15.9,127.5,189.3,196.3,192.6,192.6,96.2,6.3,29.7,1064.8,10.5,151.3,770.7,132.2
GANGETIC WEST BENGAL,2011,2.5,2.7,40.5,75,132.6,434.5,219.9,443.2,295.9,36.9,1.3,1.4,1686.5,5.2,248.1,1393.6,39.6
GANGETIC WEST BENGAL,2012,40.7,15.3,4.4,57.7,44.2,146.6,315,261.4,246.9,64.2,47,24.6,1268,56,106.3,969.9,135.8
GANGETIC WEST BENGAL,2013,2.5,10,4.8,45.6,195.9,233.4,263.2,401.4,254,353.2,0,0,1764.1,12.5,246.3,1152,353.3
GANGETIC WEST BENGAL,2014,0.9,42.2,19.9,1.9,124.4,193.6,298.7,292.6,229.5,56.9,0.1,0.6,1261.4,43.1,146.2,1014.4,57.7
GANGETIC WEST BENGAL,2015,12.9,5.5,19.3,88.7,57.6,247.2,633.1,260.6,164,32.7,2.3,6.3,1530.3,18.4,165.6,1304.9,41.3
